edge	sum_in	sum_out
1525	2.53261	5.86974
3418	20.2176	53.4809
3550	2.93134	16.8415
1341	12.6371	10.2715
1977	48.8652	39.7179
2313	1.64176	9.81991
296	139.911	79.8518
830	28.9528	16.5243
1295	0.933503	4.98548
1550	3.48088	7.96227
1216	21.2283	60.6661
3462	28.8305	82.3917
1011	4.4787	23.411
1918	22.4316	117.254
298	5.14124	3.82594
3190	6.49923	3.83439
2430	3.70722	25.3447
3251	4.54589	31.0784
2684	8.30437	66.7486
1930	6.81765	19.1625
3273	5.04656	14.1844
1524	19.3788	89.3271
3551	1.04037	1.01947
1340	54.4045	73.9308
1976	58.9545	79.157
2314	0.251602	1.48824
1358	67.3231	38.4234
3009	14.6613	8.36765
1899	3.23313	7.39556
2461	5.36484	12.2717
1217	1.6127	8.71937
3461	5.68056	42.8091
301	5.08165	6.33582
3191	3.43585	2.77892
1543	1.26736	8.66445
1940	4.20488	28.7471
1433	8.23017	37.9373
2345	0.354587	1.63448
3547	0.0149662	0.0358631
768	7.06243	9.5972
1180	13.6088	18.4931
56	61.9842	83.225
2497	44.6124	59.9002
2315	3.40519	15.6694
129	17.5484	10.0154
931	29.3063	16.726
2446	41.1851	23.5057
3030	41.6793	23.7877
387	2.05257	4.6951
1801	0.561686	1.28482
1215	3.53997	23.9127
302	2.99957	6.3291
3192	13.3279	14.6294
1542	0.749776	10.9142
3552	1.14924	1.09425
1917	38.6993	52.5888
2893	46.6623	63.4099
2208	37.7056	50.6266
3105	10.8711	14.5965
2494	14.3404	40.3206
2312	6.93078	29.365
128	12.2296	20.6975
930	6.22688	9.80248
2444	0.00355727	0.00355727
516	2.80521	6.41672
3306	3.21725	7.35923
2308	5.35582	36.1788
2876	7.39893	49.9801
300	0.0156421	0.0731195
3188	0.557838	0.79735
3546	0.0467453	0.10173
636	39.8205	54.1125
1196	71.843	97.6282
2276	34.801	46.7266
2485	29.6303	39.784
3104	17.7547	10.2332
2495	15.422	76.7418
1534	4.74089	20.0867
2872	11.1253	47.1367
3183	7.40477	11.6567
3457	19.6827	30.9849
2445	0.078249	0.16708
245	1.47604	9.97068
2625	1.30544	8.81833
303	0.899936	0.275368
1714	0.193613	0.276742
2598	1.13959	1.62887
3545	0.200465	0.200465
635	2.31029	5.19107
1283	85.0694	114.221
1703	17.6325	23.6749
2484	67.4172	207.73
3103	2.15718	2.20756
2496	1.34097	10.413
1533	0.653104	6.10182
411	6.48789	10.2134
863	23.4224	36.8721
2443	2.23417	9.18621
244	0.404977	7.08425
3123	10.784	72.8465
3252	7.57089	51.1417
297	1.39617	0.867426
1713	4.94802	10.6153
2599	0.312397	0.633836
1301	42.707	95.9598
3442	21.4839	48.2729
1702	18.9869	46.8914
526	17.4608	17.8686
2291	5.56171	5.69161
2493	12.3432	94.0691
1135	11.1726	45.938
2525	38.3917	31.3941
1836	37.2914	30.4944
2210	1.48139	0.920374
2422	1.51871	0.943564
2600	0.709389	1.39854
1648	26.9639	60.5861
3274	8.8696	19.9294
313	5.89989	13.2566
2460	65.3128	146.753
942	20.6703	51.049
2976	23.782	58.7338
2290	1.79913	3.31088
1134	2.87868	21.4229
1835	11.4739	27.1135
1265	59.751	48.8603
2771	33.1955	27.145
2211	0.546978	0.68453
2421	2.26558	2.68738
2596	0.890612	1.35413
343	14.5939	32.7915
1957	41.0523	92.2417
266	67.8453	152.444
926	38.0103	85.4065
941	0.84462	3.36102
2975	5.18441	33.2976
2606	3.58325	6.59415
2794	2.86908	5.27988
680	0.907306	6.75207
1858	3.41954	25.4479
1264	4.801	11.353
947	18.6376	15.2406
2957	21.6241	17.6827
2212	0.355307	0.612782
2244	4.13442	4.90416
2542	2.85188	3.38284
2597	0.0922072	0.120476
342	3.58614	22.0119
796	7.69645	17.2934
3458	25.0247	56.2288
113	29.025	65.2171
944	38.8655	87.3281
89	7.29204	29.0174
2424	7.97614	31.7397
528	1.83634	13.6658
3556	2.46777	18.3649
1	40.6616	33.2503
951	42.0754	34.4064
719	99.149	81.0773
2930	53.2702	43.5607
2209	0.0985488	0.270488
2595	0.694808	0.95243
1393	79.6947	179.069
2657	35.6742	80.1576
88	8.63968	51.5195
418	10.7542	42.7946
1113	21.1262	84.0681
527	0.541755	9.31351
0	15.7008	34.8916
950	13.056	29.6457
718	6.93006	16.4593
1287	74.8125	61.1765
3341	57.9783	47.4107
1448	0.445077	0.610103
3068	1.23388	1.69138
2656	0.173702	0.173702
1199	7.136	42.5529
1207	10.5262	62.7693
868	35.8495	29.3152
985	72.5779	59.3492
3340	3.43429	6.82096
1447	1.17511	2.47943
1184	0.982105	1.34625
1834	0.698401	0.957355
3116	9.36488	7.65796
3331	56.6235	46.3028
1240	65.4496	53.5202
2642	37.5927	30.7408
2243	7.46147	14.8195
3489	3.77157	7.49085
1497	115.783	94.6795
3438	148.628	121.538
34	38.4284	31.4241
210	59.5568	48.7015
1017	107.067	87.5525
2375	25.8685	21.1535
1968	8.46158	16.8058
2085	9.01381	17.9026
31	14.0297	11.4725
919	171.332	140.104
1746	70.1945	57.4002
2630	69.8355	57.1067
33	5.20103	11.8344
209	18.6412	40.6566
3131	18.5815	36.9053
3224	25.9534	51.547
144	37.0548	30.3009
2089	218.874	178.981
1249	53.4946	43.7443
1521	60.0824	49.1313
2200	53.8203	44.0105
2310	96.332	78.7738
1256	181.207	148.178
2754	4.40568	3.60267
1762	52.7846	43.1637
2296	166.642	136.269
2199	10.7959	24.3259
2309	10.6378	23.9101
1919	57.2868	46.8453
3197	37.1324	30.3644
593	27.2764	22.3048
2040	84.6328	69.2069
1410	37.6229	30.7655
2213	9.68241	7.91762
293	10.8524	8.87434
968	38.2018	31.2388
2039	0.785791	1.70364
1409	0.960305	2.14058
752	0.859212	0.702605
1192	2.37821	1.94473
2038	6.30753	5.75509
751	0.369766	0.701106
